,mean,std
0,"[103.61054287962234, 28.171518489378442, 225.72226593233674]","[72.26311405232752, 25.54456672077679, 21.871582250424826]"
1,"[35.19444444444444, 228.07142857142858, 227.78306878306879]","[3.568889983936083, 34.66330278660252, 28.566836310576335]"
2,"[204.96875, 84.13352272727273, 188.8778409090909]","[16.569688476577532, 27.312308175407434, 24.622028630893595]"
3,"[236.58895705521473, 139.4723926380368, 169.7116564417178]","[46.37045276516386, 27.557641695995752, 26.977064773293513]"
4,"[12.858267716535433, 244.1968503937008, 203.0708661417323]","[7.146676893925717, 13.39097028744912, 20.003642962808726]"
5,"[220.8, 165.82857142857142, 157.31428571428572]","[3.297057511675239, 20.39533642525074, 24.565364700267384]"
6,"[174.05806451612904, 98.75483870967741, 182.4516129032258]","[10.478945315768929, 27.67467357718401, 28.382634518078927]"
7,"[13.074074074074074, 226.33333333333334, 104.14814814814815]","[4.730636043801867, 8.557497837029771, 14.160355557529957]"
8,"[232.36, 203.48, 185.88]","[1.1503622617824931, 11.380246043034395, 6.206985312264455]"
9,"[31.65934065934066, 156.03296703296704, 231.1868131868132]","[8.600025555801539, 33.6922182078528, 20.18190173172879]"
